nchar	israel	israeli	palestine	palestinian	arab	gaza	intifada	jewish	zionism	hamas	language	total	totalperchar	link
599	2	1	1	0	1	0	0	3	0	0	4	8	0.013355592654424	https://en.wikipedia.org/wiki/Jewish_Supernumerary_Police
6541	2	2	9	0	4	0	0	10	0	0	4	27	0.00412780920348571	https://en.wikipedia.org/wiki/Special_Night_Squads
21700	1	0	28	7	62	2	0	51	0	0	4	151	0.00695852534562212	https://en.wikipedia.org/wiki/Peel_Commission
53073	94	33	27	10	57	4	0	67	4	0	4	296	0.00557722382378987	https://en.wikipedia.org/wiki/David_Ben-Gurion
21608	1	0	49	6	52	0	0	53	0	0	4	161	0.00745094409477971	https://en.wikipedia.org/wiki/White_Paper_of_1939
6237	9	2	2	0	2	0	0	1	0	0	4	16	0.00256533589866923	https://en.wikipedia.org/wiki/Port_of_Haifa
86989	2	1	1	0	5	1	0	2	0	0	4	12	0.000137948476244123	https://en.wikipedia.org/wiki/World_War_II
3125	0	0	16	0	7	0	0	8	0	0	4	31	0.00992	https://en.wikipedia.org/wiki/Palestine_Regiment
2736	0	0	3	0	1	0	0	0	0	0	4	4	0.00146198830409357	https://en.wikipedia.org/wiki/Italian_bombing_of_Mandatory_Palestine_in_World_War_II
48897	14	1	11	0	2	0	0	76	0	0	4	104	0.00212691985193366	https://en.wikipedia.org/wiki/Holocaust_survivors
100699	34	13	133	11	63	1	0	179	2	0	4	436	0.00432973515129247	https://en.wikipedia.org/wiki/Jewish_insurgency_in_Mandatory_Palestine
20204	0	0	2	0	0	0	0	0	0	0	4	2	9.89902989507028e-05	https://en.wikipedia.org/wiki/General_Assembly_of_the_United_Nations
14725	3	2	35	7	44	0	0	5	0	0	4	96	0.0065195246179966	https://en.wikipedia.org/wiki/Arab_Liberation_Army
2245	2	1	4	3	11	0	0	2	0	0	4	23	0.0102449888641425	https://en.wikipedia.org/wiki/Army_of_the_Holy_War
3680	0	0	6	2	7	0	0	1	0	0	4	16	0.00434782608695652	https://en.wikipedia.org/wiki/Abd_al-Qadir_al-Husayni
6613	0	0	8	7	14	0	0	2	0	0	4	31	0.00468773627703009	https://en.wikipedia.org/wiki/Hasan_Salama
74951	27	9	56	3	55	0	0	77	3	0	4	230	0.00306867153206762	https://en.wikipedia.org/wiki/Irgun
32455	47	7	22	5	33	0	0	38	1	0	4	153	0.00471421968879988	https://en.wikipedia.org/wiki/Lehi_(group)
54817	122	69	24	92	107	3	1	45	1	0	4	464	0.00846452742762282	https://en.wikipedia.org/wiki/1948_Palestinian_exodus
13502	67	26	4	18	10	5	0	5	0	2	4	137	0.0101466449414901	https://en.wikipedia.org/wiki/Green_Line_(Israel)
18747	48	10	18	1	25	1	0	18	3	0	4	124	0.00661439163599509	https://en.wikipedia.org/wiki/Declaration_of_the_Establishment_of_the_State_of_Israel
13586	14	6	54	14	49	23	0	2	0	0	4	162	0.0119240394523774	https://en.wikipedia.org/wiki/All-Palestine_Government
114978	130	47	0	9	55	9	0	6	2	0	4	258	0.0022439075301362	https://en.wikipedia.org/wiki/Suez_Crisis
37981	112	62	17	90	31	28	7	4	4	7	4	362	0.00953108133013875	https://en.wikipedia.org/wiki/Palestinian_Fedayeen
7947	41	31	1	4	7	7	0	0	0	0	4	91	0.0114508619604882	https://en.wikipedia.org/wiki/Reprisal_operations
16735	3	0	1	2	27	6	0	0	0	1	4	40	0.00239020017926501	https://en.wikipedia.org/wiki/United_Arab_Republic
8146	26	15	16	10	19	24	0	1	0	0	4	111	0.0136263196660938	https://en.wikipedia.org/wiki/Egyptian_occupation_of_the_Gaza_Strip
61788	234	121	10	163	27	14	6	12	0	4	4	591	0.00956496407069334	https://en.wikipedia.org/wiki/West_Bank
61328	180	93	14	2	37	2	0	22	0	0	4	350	0.00570701800156535	https://en.wikipedia.org/wiki/Golan_Heights
17585	30	11	2	0	13	3	0	1	0	0	4	60	0.00341199886266705	https://en.wikipedia.org/wiki/Sinai_Peninsula
11821	61	29	1	0	5	0	0	0	0	0	4	96	0.00812114034345656	https://en.wikipedia.org/wiki/War_of_Attrition
21746	89	58	3	17	8	0	0	1	0	0	4	176	0.00809344247217879	https://en.wikipedia.org/wiki/Battle_of_Karameh
37986	56	27	8	52	24	0	0	0	0	0	4	167	0.00439635655241405	https://en.wikipedia.org/wiki/Black_September_in_Jordan
144491	534	391	0	5	63	2	0	2	0	0	4	997	0.00690008374224	https://en.wikipedia.org/wiki/Yom_Kippur_War
9336	43	19	7	19	1	0	0	0	0	0	4	89	0.00953299057412168	https://en.wikipedia.org/wiki/Palestinian_insurgency_in_South_Lebanon
69869	84	47	14	40	41	0	2	0	0	0	4	228	0.00326324979604689	https://en.wikipedia.org/wiki/Lebanese_Civil_War
14312	43	24	2	20	6	0	0	1	0	0	4	96	0.00670765790944662	https://en.wikipedia.org/wiki/Coastal_Road_massacre
10036	46	18	2	18	0	0	0	0	0	0	4	84	0.00836986847349542	https://en.wikipedia.org/wiki/Operation_Litani
13645	22	11	0	1	1	0	0	9	0	0	4	44	0.00322462440454379	https://en.wikipedia.org/wiki/Assassination_of_Yitzhak_Rabin
14396	65	26	6	9	24	10	0	18	4	2	4	164	0.0113920533481523	https://en.wikipedia.org/wiki/Far-right_politics_in_Israel
6919	13	6	3	15	3	7	1	0	0	8	4	56	0.00809365515247868	https://en.wikipedia.org/wiki/Palestinian_National_Security_Forces
65416	208	80	6	11	30	10	1	12	1	2	4	361	0.00551852757735111	https://en.wikipedia.org/wiki/Israel_Defense_Forces
4753	26	18	1	8	0	6	0	0	0	6	4	65	0.0136755733221124	https://en.wikipedia.org/wiki/Operation_Days_of_Penitence_Fatalities
14450	5	0	1	1	1	0	0	0	0	0	4	8	0.00055363321799308	https://en.wikipedia.org/wiki/Human_Rights_Watch
27170	0	0	0	0	0	0	0	0	0	0	4	0	0	https://en.wikipedia.org/wiki/Non-governmental_organization
35118	68	28	8	68	3	22	0	2	0	102	4	301	0.00857110313799191	https://en.wikipedia.org/wiki/2006_Palestinian_legislative_election
9872	21	5	0	30	0	13	0	0	0	25	4	94	0.00952188006482982	https://en.wikipedia.org/wiki/2006%E2%80%9307_economic_sanctions_against_the_Palestinian_National_Authority
22848	22	6	6	44	2	44	1	0	0	98	4	223	0.00976015406162465	https://en.wikipedia.org/wiki/Battle_of_Gaza_(2007)
100994	345	112	1	71	2	392	3	0	0	82	4	1008	0.00998079093807553	https://en.wikipedia.org/wiki/Blockade_of_the_Gaza_Strip
133374	474	256	5	132	26	269	3	5	0	269	4	1439	0.0107892092911662	https://en.wikipedia.org/wiki/Cast_Lead
43220	83	27	2	10	4	3	0	8	1	1	4	139	0.00321610365571495	https://en.wikipedia.org/wiki/Thirty-seventh_government_of_Israel
57664	198	113	2	50	14	58	0	1	0	116	4	552	0.00957269700332963	https://en.wikipedia.org/wiki/2023_Hamas_attack_on_Israel
38481	148	81	0	32	1	42	0	2	0	93	4	399	0.0103687534107741	https://en.wikipedia.org/wiki/2023_Israel%E2%80%93Hamas_war_hostage_crisis
5280	2	1	0	0	0	0	0	0	0	1	4	4	0.000757575757575758	https://en.wikipedia.org/wiki/Airstrike
64793	259	158	2	64	8	171	0	0	0	77	4	739	0.0114055530690044	https://en.wikipedia.org/wiki/Israeli_invasion_of_the_Gaza_Strip_(2023%E2%80%93present)
38535	128	61	1	43	2	128	0	0	0	19	4	382	0.00991306604385623	https://en.wikipedia.org/wiki/Gaza_Strip_evacuations
48572	173	41	2	37	2	64	0	3	0	20	4	342	0.00704109363419254	https://en.wikipedia.org/wiki/South_Africa_v._Israel_(Genocide_Convention)
58697	215	62	11	79	2	126	0	3	0	19	4	517	0.00880794589161286	https://en.wikipedia.org/wiki/Allegations_of_genocide_in_the_2023_Israeli_attack_on_Gaza
30305	0	0	0	0	1	0	0	0	0	0	4	1	3.29978551394159e-05	https://en.wikipedia.org/wiki/International_Court_of_Justice
25597	108	54	0	27	2	7	0	1	0	13	4	212	0.00828222057272337	https://en.wikipedia.org/wiki/Spillover_of_the_Israel%E2%80%93Hamas_war
45908	190	149	2	100	1	9	0	4	0	6	4	461	0.0100418227759868	https://en.wikipedia.org/wiki/Israeli_incursions_in_the_West_Bank_during_the_2023_Israel%E2%80%93Hamas_war
82485	157	78	4	2	33	2	1	6	2	6	4	291	0.00352791416621204	https://en.wikipedia.org/wiki/Hezbollah
51749	193	97	1	14	5	6	0	2	0	19	4	337	0.00651220313436008	https://en.wikipedia.org/wiki/Israel%E2%80%93Hezbollah_conflict_(2023%E2%80%93present)
10533	5	1	0	1	1	0	0	0	0	3	4	11	0.00104433684610272	https://en.wikipedia.org/wiki/Attacks_on_U.S._bases_in_Iraq,_Jordan,_and_Syria_(2023%E2%80%93present)
51169	24	3	1	3	25	4	0	3	1	2	4	66	0.00128984345990737	https://en.wikipedia.org/wiki/Houthi_movement
59670	84	32	1	4	10	10	0	0	0	12	4	153	0.00256410256410256	https://en.wikipedia.org/wiki/Red_Sea_crisis
23245	15	7	2	4	4	2	0	0	0	3	4	37	0.00159174015917402	https://en.wikipedia.org/wiki/2024_missile_strikes_in_Yemen
7320	1	0	0	2	3	0	0	0	0	2	4	8	0.00109289617486339	https://en.wikipedia.org/wiki/February_2024_United_States_airstrikes_in_Iraq_and_Syria
45748	27	19	3	14	2	1	1	3	1	0	4	71	0.00155198041444435	https://en.wikipedia.org/wiki/Peace_movement
11578	24	13	1	1	7	0	0	15	1	3	4	65	0.00561409569873899	https://en.wikipedia.org/wiki/Flag_of_Israel
5323	11	3	12	18	17	2	1	0	0	0	4	64	0.0120232951343228	https://en.wikipedia.org/wiki/Palestinian_flag
71240	1	0	0	0	370	0	0	1	0	0	4	372	0.00522178551375632	https://en.wikipedia.org/wiki/Arabic_language
40786	51	23	7	0	21	0	0	25	3	0	4	130	0.00318736821458344	https://en.wikipedia.org/wiki/Hebrew_language
26753	72	33	8	10	8	1	2	7	1	1	4	143	0.00534519493140956	https://en.wikipedia.org/wiki/Yitzhak_Rabin
61720	133	70	16	124	52	22	10	2	1	11	4	441	0.0071451717433571	https://en.wikipedia.org/wiki/Yasser_Arafat
16536	40	20	2	7	2	1	0	2	0	0	4	74	0.00447508466376391	https://en.wikipedia.org/wiki/Ehud_Barak
15972	22	12	1	13	6	5	0	4	0	10	4	73	0.00457049837215126	https://en.wikipedia.org/wiki/Robert_Malley
88541	5	4	1	3	1	0	1	0	0	0	4	15	0.000169413040286421	https://en.wikipedia.org/wiki/Bill_Clinton
25063	109	58	7	90	9	8	1	6	0	0	4	288	0.0114910425727168	https://en.wikipedia.org/wiki/2000_Camp_David_Summit
5237	17	9	0	7	3	0	0	2	0	0	4	38	0.00725606263127745	https://en.wikipedia.org/wiki/Shlomo_Ben-Ami
20531	11	5	2	6	3	2	0	0	0	1	4	30	0.00146120500706249	https://en.wikipedia.org/wiki/George_J._Mitchell
3736	12	5	1	10	0	1	4	0	0	0	4	33	0.00883297644539615	https://en.wikipedia.org/wiki/Mitchell_Report_(Arab%E2%80%93Israeli_conflict)
16404	62	37	1	52	4	6	2	2	0	0	4	166	0.0101194830529139	https://en.wikipedia.org/wiki/The_Clinton_Parameters
